"filename", "language", "JSON", "Markdown", "JavaScript", "CSS", "GLSL", "HTML", "comment", "blank", "total"
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Shaders\Gamen\fragment.glsl", "GLSL", 0, 0, 0, 0, 139, 0, 17, 38, 194
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Shaders\Keshiki\Flag\fragment.glsl", "GLSL", 0, 0, 0, 0, 6, 0, 1, 5, 12
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Shaders\Keshiki\Flag\vertex.glsl", "GLSL", 0, 0, 0, 0, 9, 0, 1, 8, 18
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Shaders\Keshiki\fragment.glsl", "GLSL", 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\idemo\Documents\GitHub\Portfolio\src\Shaders\Keshiki\vertex.glsl", "GLSL", 0, 0, 0, 0, 81, 0, 4, 15, 100
"c:\Users\idemo\Documents\GitHub\Portfolio\src\index.html", "HTML", 0, 0, 0, 0, 0, 86, 0, 18, 104
"c:\Users\idemo\Documents\GitHub\Portfolio\src\script.js", "JavaScript", 0, 0, 3, 0, 0, 0, 1, 3, 7
"c:\Users\idemo\Documents\GitHub\Portfolio\src\style.css", "CSS", 0, 0, 0, 35, 0, 0, 2, 5, 42
"c:\Users\idemo\Documents\GitHub\Portfolio\static\draco\README.md", "Markdown", 0, 20, 0, 0, 0, 0, 0, 13, 33
"c:\Users\idemo\Documents\GitHub\Portfolio\static\draco\draco_decoder.js", "JavaScript", 0, 0, 24, 0, 0, 0, 4, 24, 52
"c:\Users\idemo\Documents\GitHub\Portfolio\static\draco\draco_encoder.js", "JavaScript", 0, 0, 20, 0, 0, 0, 3, 11, 34
"c:\Users\idemo\Documents\GitHub\Portfolio\static\draco\draco_wasm_wrapper.js", "JavaScript", 0, 0, 104, 0, 0, 0, 0, 1, 105
"c:\Users\idemo\Documents\GitHub\Portfolio\static\draco\gltf\draco_decoder.js", "JavaScript", 0, 0, 23, 0, 0, 0, 4, 21, 48
"c:\Users\idemo\Documents\GitHub\Portfolio\static\draco\gltf\draco_encoder.js", "JavaScript", 0, 0, 20, 0, 0, 0, 3, 11, 34
"c:\Users\idemo\Documents\GitHub\Portfolio\static\draco\gltf\draco_wasm_wrapper.js", "JavaScript", 0, 0, 104, 0, 0, 0, 0, 1, 105
"Total", "-", 14180, 22, 6124, 35, 597, 86, 986, 1239, 23269
